Photinus indictus (NCC Ent 9),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
NCC Ent 9,Photinus indictus,Photinus_indictus_f8_W.tif,sensillum width med,F8,olfactory,trichoid,1.367,magenta 1B,
NCC Ent 9,Photinus indictus,Photinus_indictus_f8_W.tif,sensillum width med,F8,olfactory,basiconica,1.99,magenta 2B,
NCC Ent 9,Photinus indictus,Photinus_indictus_f8_W.tif,sensillum width med,F8,olfactory,basiconica,1.965,magenta 3B,
NCC Ent 9,Photinus indictus,Photinus_indictis_antennae.tif,segment length,F9,NA,NA,381.275,,
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_L.tif,sensillum length,F9,mechano,NA,52.851,cyan 1,
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_L.tif,sensillum length,F9,mechano,NA,45.053,cyan 2,
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_L.tif,sensillum length,F9,mechano,NA,64.981,cyan 3,
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_L.tif,sensillum length,F9,mechano,NA,46.774,cyan 4,
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_L.tif,sensillum length,F9,mechano,NA,55.751,cyan 5,
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_L.tif,sensillum length,F9,olfactory,NA,11.63,magenta 1,
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_L.tif,sensillum length,F9,olfactory,NA,12.771,magenta 2,
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_L.tif,sensillum length,F9,olfactory,NA,8.585,magenta 3,
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_L.tif,sensillum length,F9,olfactory,NA,12.338,magenta 4,
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_L.tif,sensillum length,F9,olfactory,NA,10.737,magenta 5,
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_W.tif,sensillum width prox,F9,mechano,NA,2.531,cyan 1A,
NCC Ent 9,Photinus indictus,Photinus_indictus_f9_W.tif,sensillum width med,F9,mechano,NA,1.502,cyan 1B,
