"specimen","species","signal","sex","body_length","location","sensillum_type","olfactory_type","mean_dists","density","fraction","counts"
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F6","olfactory","trichoid",42.2896191441499,0.00105055565373808,1,23
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F6","olfactory","basiconica",NA,NA,0,0
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F6","olfactory","capitular",NA,NA,0,0
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F6","olfactory",NA,42.2896191441499,0.00105055565373808,0.511111111111111,23
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F6","all",NA,30.5471559179761,0.00205543497470493,1,45
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F7","mechano",NA,37.5084830898781,0.00159891502194939,0.583333333333333,14
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F7","hygro-thermo",NA,NA,NA,NA,0
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F7","olfactory","trichoid",33.9850309967715,0.00114208215853528,1,10
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F7","olfactory","basiconica",NA,NA,0,0
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F7","olfactory","capitular",NA,NA,0,0
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F7","olfactory",NA,33.9850309967715,0.00114208215853528,0.416666666666667,10
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F7","all",NA,27.0341413998196,0.00274099718048467,1,24
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F8","mechano",NA,NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F8","hygro-thermo",NA,NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F8","olfactory","trichoid",NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F8","olfactory","basiconica",NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F8","olfactory","capitular",NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F8","olfactory",NA,NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F8","all",NA,NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F9","mechano",NA,28.4931606870982,0.00222632944005699,0.583333333333333,21
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F9","hygro-thermo",NA,NA,NA,NA,0
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F9","olfactory","trichoid",37.5057954665639,0.00127218825146114,1,12
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F9","olfactory","basiconica",NA,NA,0,0
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F9","olfactory","capitular",NA,NA,0,0
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F9","olfactory",NA,33.5908180481835,0.00159023531432642,0.416666666666667,12
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F9","all",NA,23.5110845197938,0.00381656475438342,1,36
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F10","mechano",NA,NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F10","hygro-thermo",NA,NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F10","olfactory","trichoid",NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F10","olfactory","basiconica",NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F10","olfactory","capitular",NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F10","olfactory",NA,NA,NA,NA,NA
"LACM Ent 574182","Photinus pyralis","visual","male","11.768","F10","all",NA,NA,NA,NA,NA
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F1","mechano",NA,31.7774398164775,0.00212926519602002,0.651685393258427,58
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F1","hygro-thermo",NA,50.0506537437908,0.000293691751175176,0.0898876404494382,8
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F1","olfactory","trichoid",63.7289474833567,0.000293691751175176,0.421052631578947,8
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F1","olfactory","basiconica",57.6357518512567,0.000403826157865867,0.578947368421053,11
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F1","olfactory","capitular",NA,NA,0,0
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F1","olfactory",NA,44.12019482195,0.00084436378462863,0.258426966292135,19
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F1","all",NA,25.1648057630837,0.00326732073182383,1,89
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F2","mechano",NA,35.328454596343,0.00159648812951741,0.560606060606061,74
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F2","hygro-thermo",NA,26.5630768479781,0.000107870819561987,0.0378787878787879,5
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F2","olfactory","trichoid",48.6629458321477,0.000496205769985141,0.433962264150943,23
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F2","olfactory","basiconica",38.57758773207,0.000647224917371923,0.566037735849057,30
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F2","olfactory","capitular",NA,NA,0,0
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F2","olfactory",NA,34.4184740494876,0.00114343068735706,0.401515151515151,53
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F2","all",NA,24.9741488077183,0.00284778963643646,1,132
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F3","mechano",NA,34.1450718846986,0.00157163143962541,0.515384615384615,67
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F3","hygro-thermo",NA,NA,NA,NA,0
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F3","olfactory","trichoid",33.5357656803903,0.0012432308403007,0.898305084745763,53
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F3","olfactory","basiconica",60.270707900275,0.000140743113996306,0.101694915254237,6
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F3","olfactory","capitular",NA,NA,0,0
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F3","olfactory",NA,30.4893285303714,0.00145434551129516,0.476923076923077,59
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F3","all",NA,24.1668836712897,0.00304943413658662,0.992307692307692,130
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F4","mechano",NA,33.7776021972869,0.00168429367794445,0.555555555555556,40
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F4","hygro-thermo",NA,NA,NA,NA,0
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F4","olfactory","trichoid",29.8905616899431,0.000884254180920835,0.75,21
"LACM Ent 574183","Photinus marginellus","visual",NA,"4.605","F4","olfactory","basiconica",41.4492554474962,0.000294751393640278,0.25,7
