Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,279.857,144.619,39,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,72.619,84.048,40,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,116.429,93.952,41,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,olfactory,trichoid,64,61.714,1,pink,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,olfactory,trichoid,105,60.81,2,pink,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,olfactory,trichoid,216.619,62.333,3,pink,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,olfactory,trichoid,224.619,65,4,pink,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,olfactory,trichoid,202.524,64.238,5,pink,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,olfactory,trichoid,161.762,125.952,6,pink,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,olfactory,NA,198.333,124.81,7,pink,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,olfactory,NA,218.524,139.286,8,pink,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,olfactory,NA,234.143,143.476,9,pink,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,olfactory,NA,258.524,146.905,10,pink,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,olfactory,trichoid,239.095,151.857,11,pink,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,olfactory,NA,58.143,77.952,12,pink,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,olfactory,trichoid,117.952,142.333,13,pink,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,olfactory,NA,236.81,83.286,14,pink,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,olfactory,NA,224.238,133.19,15,pink,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,16.654,51.003,1,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,20.074,36.728,2,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,30.78,29.293,3,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,33.011,22.602,4,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,36.134,18.736,5,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,37.769,11.896,6,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,42.974,12.045,7,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,40.148,38.364,8,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,32.714,53.68,9,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,43.42,73.457,10,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,48.922,53.829,11,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,57.546,26.022,12,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,59.925,22.751,13,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,63.345,35.687,14,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,61.858,44.163,15,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,70.185,73.754,16,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,79.702,64.386,17,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,62.304,19.033,18,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,91.449,28.401,19,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,78.81,35.539,20,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,84.758,51.449,21,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,66.171,87.88,22,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,88.475,94.423,23,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,106.616,68.401,24,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,126.542,66.022,25,yellow,,,,,,,,,,,
