Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments,,,,,,,,,,,,,,,,,,
Pyractomena angulata F7.tif,LACM Ent 574187,Pyractomena angulata,F7,mechano,NA,405,472.5,9,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F7.tif,LACM Ent 574187,Pyractomena angulata,F7,mechano,NA,407,412.5,10,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F7.tif,LACM Ent 574187,Pyractomena angulata,F7,mechano,NA,381,443.5,11,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F7.tif,LACM Ent 574187,Pyractomena angulata,F7,mechano,NA,421.5,335,12,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F7.tif,LACM Ent 574187,Pyractomena angulata,F7,mechano,NA,456,354,13,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F7.tif,LACM Ent 574187,Pyractomena angulata,F7,mechano,NA,447,300.5,14,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F7.tif,LACM Ent 574187,Pyractomena angulata,F7,mechano,NA,391.5,313.5,15,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F7.tif,LACM Ent 574187,Pyractomena angulata,F7,olfactory,trichoid,621,107.5,1,pink most sensilla were broken off and this was all I could find,,,,,,,,,,,,,,,,,,
Pyractomena angulata F7.tif,LACM Ent 574187,Pyractomena angulata,F7,olfactory,trichoid,643.5,129.5,2,pink,,,,,,,,,,,,,,,,,,
Pyractomena angulata F7.tif,LACM Ent 574187,Pyractomena angulata,F7,olfactory,trichoid,663.5,126,3,pink,,,,,,,,,,,,,,,,,,
Pyractomena angulata F7.tif,LACM Ent 574187,Pyractomena angulata,F7,olfactory,trichoid,680.5,115,4,pink,,,,,,,,,,,,,,,,,,
Pyractomena angulata F7.tif,LACM Ent 574187,Pyractomena angulata,F7,olfactory,trichoid,629,150,5,pink,,,,,,,,,,,,,,,,,,
Pyractomena angulata F7.tif,LACM Ent 574187,Pyractomena angulata,F7,olfactory,trichoid,706,176,6,pink,,,,,,,,,,,,,,,,,,
Pyractomena angulata F8.tif,LACM Ent 574187,Pyractomena angulata,F8,mechano,NA,401,302,1,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F8.tif,LACM Ent 574187,Pyractomena angulata,F8,mechano,NA,422.167,302.833,2,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F8.tif,LACM Ent 574187,Pyractomena angulata,F8,mechano,NA,434.167,330.167,3,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F8.tif,LACM Ent 574187,Pyractomena angulata,F8,mechano,NA,474.833,337.5,4,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F8.tif,LACM Ent 574187,Pyractomena angulata,F8,mechano,NA,512.167,351.5,5,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F8.tif,LACM Ent 574187,Pyractomena angulata,F8,mechano,NA,554.167,323.5,6,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F8.tif,LACM Ent 574187,Pyractomena angulata,F8,mechano,NA,589.5,328.833,7,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F8.tif,LACM Ent 574187,Pyractomena angulata,F8,mechano,NA,523.5,394.167,8,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F8.tif,LACM Ent 574187,Pyractomena angulata,F8,mechano,NA,567.5,377.5,9,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F8.tif,LACM Ent 574187,Pyractomena angulata,F8,mechano,NA,598.167,387.5,10,yellow,,,,,,,,,,,,,,,,,,
